"Marka","Model","Araç Paketi","Motor Gücü","Motor Hacmi","Fiyat"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1150000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1080000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1300000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","927500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1205000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","985000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1150000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1015000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1050000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","913750"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","985000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1109900"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","949000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","964900"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","947000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","965000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","945000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","974500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","990000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1095000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","994000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","910000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","920000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","984000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1050000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","979500"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","950000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","820000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","985000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","798000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1020000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","905000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","930000"
